Local file,Remote exists,Local hash,Remote hash,Status
.gitignore,True,76c6235dec9c0de11590394df93121f93974163948dcb2e4bafa5c235bd25823,76c6235dec9c0de11590394df93121f93974163948dcb2e4bafa5c235bd25823,PASS
ANALYSIS_FREEZE_SHA256.txt,True,ff2972a96cb1484432e5fc0cb66565cdc4b2e9665351f8e0e0e5284877cc805e,ff2972a96cb1484432e5fc0cb66565cdc4b2e9665351f8e0e0e5284877cc805e,PASS
CITATION.cff,True,2a1fbf22f70df9e013ed817bd753839c8fcd0b524853108ad8d4c2212240fb9e,2a1fbf22f70df9e013ed817bd753839c8fcd0b524853108ad8d4c2212240fb9e,PASS
FINAL_ANALYSIS_FREEZE.md,True,620bd54135db1542a773a3f28da2df5b693097651d2bfea2a37b14bb85f82967,620bd54135db1542a773a3f28da2df5b693097651d2bfea2a37b14bb85f82967,PASS
LICENSE,True,2d0a24a52211c140e377d52820818c5a99b952c65273dd687ac2a61fb95f6af0,2d0a24a52211c140e377d52820818c5a99b952c65273dd687ac2a61fb95f6af0,PASS
README.md,True,df6072c2663b2b9bab1782bb980053d8345b342bb5f9a6f96e3c67ce761fa59e,df6072c2663b2b9bab1782bb980053d8345b342bb5f9a6f96e3c67ce761fa59e,PASS
corpus/corpus_audit.md,True,136ebda3d7a73efea91b1ebd21e6c9bbc4f73d43c69d5cb198ff7ba033d47389,136ebda3d7a73efea91b1ebd21e6c9bbc4f73d43c69d5cb198ff7ba033d47389,PASS
corpus/corpus_sha256.txt,True,1d8d41663bf85b93980e4091b314b4bb234d074de1695bd9f3ab255b1ce50c8e,1d8d41663bf85b93980e4091b314b4bb234d074de1695bd9f3ab255b1ce50c8e,PASS
corpus/primary_studies_manifest.csv,True,895bfa05981ae4a030df16d7a9ed9ced10b79435d1de5cea3b070ad4065ba4f1,895bfa05981ae4a030df16d7a9ed9ced10b79435d1de5cea3b070ad4065ba4f1,PASS
data/fulltext_representation_manifest.csv,True,692819645ebc0756083ba8d2becff71a3c9b37fa796db5e0009661de1a8c6138,692819645ebc0756083ba8d2becff71a3c9b37fa796db5e0009661de1a8c6138,PASS
data/metadata_representation.csv,True,5f96b006271485c996707a1ecd3031b02ac5f07e121e15ca1c40ca785d331167,5f96b006271485c996707a1ecd3031b02ac5f07e121e15ca1c40ca785d331167,PASS
environment.yml,True,1e2808ac5a3ca91db3c0ff615905db8da87d5de9b0b32a7531e710439da9bb2d,1e2808ac5a3ca91db3c0ff615905db8da87d5de9b0b32a7531e710439da9bb2d,PASS
extraction/extraction_quality_report.md,True,3854226096d55cc341c3dc7eaff41b49561e6f47a9ef6717733bad20f5e5cd8a,3854226096d55cc341c3dc7eaff41b49561e6f47a9ef6717733bad20f5e5cd8a,PASS
extraction/fulltext_extraction.csv,True,692819645ebc0756083ba8d2becff71a3c9b37fa796db5e0009661de1a8c6138,692819645ebc0756083ba8d2becff71a3c9b37fa796db5e0009661de1a8c6138,PASS
extraction/metadata_extraction.csv,True,23b34b3fb1307d6909bd361dc0935d5f68c12f730e859a0fbef166db7a378635,23b34b3fb1307d6909bd361dc0935d5f68c12f730e859a0fbef166db7a378635,PASS
figures/FIGURE_SHA256.csv,True,5ee8ba6e7de374a27a80a41f53e48e73f642a7f7619204dba9004cac64abe244,5ee8ba6e7de374a27a80a41f53e48e73f642a7f7619204dba9004cac64abe244,PASS
figures/comparison/C1_topic_alignment_heatmap.pdf,True,daf91c519fbd404d147c98cbd64b6f3a0e8fe1cefc3ff3397424116f9c916bab,daf91c519fbd404d147c98cbd64b6f3a0e8fe1cefc3ff3397424116f9c916bab,PASS
figures/comparison/C1_topic_alignment_heatmap.png,True,3e24b3d522e0d2c5ef98d2ca748fe34a1a4c405e3784abf169d9459ddb0ed357,3e24b3d522e0d2c5ef98d2ca748fe34a1a4c405e3784abf169d9459ddb0ed357,PASS
figures/comparison/C2_dominant_topic_contingency.pdf,True,5d2edb6028be497e85422582e68487f42769068d333eac3af7f7e38debdca9c3,5d2edb6028be497e85422582e68487f42769068d333eac3af7f7e38debdca9c3,PASS
figures/comparison/C2_dominant_topic_contingency.png,True,65549b3df0db15a2954bd4270ff7c02b06ac31d20be83e46603df7782a8b08dc,65549b3df0db15a2954bd4270ff7c02b06ac31d20be83e46603df7782a8b08dc,PASS
